Property ID,Owner,Address,Type,Price,Date Listed,Email
,Chris Black ,654 Maple Ln|Miami| FL, Condo,343949,  12-30-2018,jane@email.com
PROP213,Eve Yellow ,321 Pine Rd |Houston| TX, Townhouse,781523,11 - 15 - 2019,grace@email.com
PROP204,Henry Orange,789 Oak Ave|Chicago | IL, Condo,291031,01-02-2023,bob@email.com
PROP213,Chris Black ,789 Oak Ave|Chicago | IL, Villa,696128,07-12-2021,henry@email.com
PROP200,Grace Red ,789 Oak Ave|Chicago | IL, Studio,439349, 10/25/2020 ,chris@email.com
PROP202,Jane Smith  ,789 Oak Ave|Chicago | IL,Apartment ,847075,07-12-2021,
PROP203,  Daniel Green,123 Main St|New York|NY, Townhouse,405876, 10/25/2020 ,chris@email.com
PROP201,Frank Blue,789 Oak Ave|Chicago | IL, Townhouse,862764, 3/5/2022,
PROP205,  Daniel Green,456 Elm St |Los Angeles| CA, House,588671,01-02-2023,
PROP219,Grace Red ,654 Maple Ln|Miami| FL, Condo,876135,  12-30-2018,
PROP201,  Daniel Green,654 Maple Ln|Miami| FL, Townhouse,326510,07-12-2021,eve@email.com
PROP205,Chris Black ,654 Maple Ln|Miami| FL,Apartment ,210341,  12-30-2018,bob@email.com
PROP204,Frank Blue,456 Elm St |Los Angeles| CA, Townhouse,636195, 3/5/2022,henry@email.com
PROP206,  Daniel Green,654 Maple Ln|Miami| FL, Studio,205189,07-12-2021,henry@email.com
PROP218,  Daniel Green,123 Main St|New York|NY, Condo,756404, 3/5/2022,
PROP207,Jane Smith  ,789 Oak Ave|Chicago | IL, Condo,589361,07-12-2021,alice@email.com
PROP202,Chris Black ,789 Oak Ave|Chicago | IL,Apartment ,773568,07-12-2021,alice@email.com
PROP215,  John Doe,123 Main St|New York|NY, Studio,140696,01-02-2023,grace@email.com
PROP208,Eve Yellow ,321 Pine Rd |Houston| TX, Townhouse,469675,01-02-2023,daniel@email.com
PROP205,Henry Orange,654 Maple Ln|Miami| FL, Townhouse,757625, 10/25/2020 ,henry@email.com
PROP218,Henry Orange,789 Oak Ave|Chicago | IL, Townhouse,809802,07-12-2021,bob@email.com
PROP215,Grace Red ,789 Oak Ave|Chicago | IL,Apartment ,736175,  12-30-2018,
PROP200,Eve Yellow ,123 Main St|New York|NY, Studio,591020, 10/25/2020 ,henry@email.com
PROP207,Grace Red ,789 Oak Ave|Chicago | IL,Apartment ,210159,01-02-2023,chris@email.com
PROP204,Bob White,321 Pine Rd |Houston| TX,Apartment ,793108, 3/5/2022,
PROP218,  John Doe,123 Main St|New York|NY, Townhouse,481959, 10/25/2020 ,jane@email.com
PROP200,Frank Blue,321 Pine Rd |Houston| TX, Studio,659598,07-12-2021,
PROP211,Eve Yellow ,123 Main St|New York|NY, Studio,599598, 10/25/2020 ,bob@email.com
PROP215,Frank Blue,123 Main St|New York|NY, Villa,486045,11 - 15 - 2019,eve@email.com
PROP209,Grace Red ,654 Maple Ln|Miami| FL, Studio,745818, 10/25/2020 ,jane@email.com
PROP205,  John Doe,456 Elm St |Los Angeles| CA, Studio,417509,01-02-2023,henry@email.com
PROP213,  Daniel Green,123 Main St|New York|NY, House,351819,01-02-2023,henry@email.com
PROP219,Bob White,321 Pine Rd |Houston| TX,Apartment ,174576,01-02-2023,
PROP219,Grace Red ,456 Elm St |Los Angeles| CA, Townhouse,839512,11 - 15 - 2019,daniel@email.com
PROP202,  Daniel Green,789 Oak Ave|Chicago | IL, Townhouse,771961,  12-30-2018,daniel@email.com
PROP212,  John Doe,321 Pine Rd |Houston| TX, House,867444,01-02-2023,daniel@email.com
PROP204,  Daniel Green,456 Elm St |Los Angeles| CA, Townhouse,524342,  12-30-2018,grace@email.com
PROP209,Frank Blue,789 Oak Ave|Chicago | IL, Studio,400720,  12-30-2018,alice@email.com
PROP204,Grace Red ,654 Maple Ln|Miami| FL, Townhouse,639591, 3/5/2022,bob@email.com
PROP215,Grace Red ,123 Main St|New York|NY, Townhouse,258753, 3/5/2022,john@email.com
,Grace Red ,321 Pine Rd |Houston| TX, Studio,245817, 3/5/2022,frank@email.com
PROP203,Bob White,654 Maple Ln|Miami| FL,Apartment ,651239,07-12-2021,
PROP207,  John Doe,789 Oak Ave|Chicago | IL, House,182268,07-12-2021,grace@email.com
PROP213,Henry Orange,321 Pine Rd |Houston| TX, Condo,565013,01-02-2023,henry@email.com
PROP207,Jane Smith  ,654 Maple Ln|Miami| FL, Townhouse,323821,07-12-2021,bob@email.com
PROP220,Grace Red ,654 Maple Ln|Miami| FL, Studio,553469,  12-30-2018,
PROP215,Jane Smith  ,654 Maple Ln|Miami| FL, Townhouse,877741, 3/5/2022,
PROP209, Alice Brown,789 Oak Ave|Chicago | IL, Studio,470856,  12-30-2018,chris@email.com
PROP206,Chris Black ,654 Maple Ln|Miami| FL,Apartment ,264993, 10/25/2020 ,henry@email.com
PROP215,Chris Black ,123 Main St|New York|NY,Apartment ,683836,  12-30-2018,bob@email.com
PROP212,  Daniel Green,321 Pine Rd |Houston| TX,Apartment ,425624,  12-30-2018,bob@email.com
PROP202,  John Doe,789 Oak Ave|Chicago | IL, Condo,664219,  12-30-2018,alice@email.com
PROP200,Henry Orange,654 Maple Ln|Miami| FL, Villa,154612, 3/5/2022,
PROP201,  Daniel Green,321 Pine Rd |Houston| TX, Studio,144686, 3/5/2022,
PROP215,Frank Blue,789 Oak Ave|Chicago | IL, Townhouse,530326,11 - 15 - 2019,daniel@email.com
